ZIPCODE,RACE: Total: Total population -- (Estimate),POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate),RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate),PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate),RACE: Non White alone: Total population -- (Estimate),RACE: Total: Total population -- (Estimate)_PERCENTILE,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate)_PERCENTILE,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate)_PERCENTILE,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate)_PERCENTILE,RACE: Non White alone: Total population -- (Estimate)_PERCENTILE
30345,36915.0,36769.0,14926.0,36760.0,11412.0,15.122615803814714,15.66757493188011,17.302452316076295,15.66757493188011,18.80108991825613
30346,14191.0,14191.0,6567.0,14191.0,6465.0,5.722070844686648,6.267029972752043,8.174386920980927,6.267029972752043,11.580381471389646
30349,193611.0,191857.0,67823.0,190815.0,154196.0,78.06539509536785,79.01907356948229,76.43051771117166,79.01907356948229,99.59128065395096
30350,85961.0,85524.0,35780.0,84707.0,34535.0,44.4141689373297,46.45776566757493,52.31607629427793,45.91280653950954,51.49863760217983
30354,49304.0,44410.0,16715.0,43731.0,36688.0,22.070844686648503,20.708446866485012,20.435967302452315,20.16348773841962,53.678474114441414
30360,32097.0,32029.0,11888.0,31975.0,13103.0,14.168937329700272,14.168937329700272,13.896457765667575,14.168937329700272,21.525885558583106
30363,64242.0,59762.0,24260.0,59720.0,19511.0,31.33514986376022,30.381471389645778,34.60490463215259,30.517711171662125,29.427792915531334
30401,397083.0,382667.0,143513.0,381363.0,118849.0,98.36512261580381,98.36512261580381,98.22888283378747,98.36512261580381,97.13896457765668
30410,197916.0,182137.0,70463.0,181739.0,73739.0,79.01907356948229,77.24795640326975,78.61035422343325,77.11171662125341,82.97002724795641
30411,76684.0,66055.0,25821.0,65996.0,24345.0,39.64577656675749,34.87738419618529,36.37602179836512,34.87738419618529,39.1008174386921
